"File","RelativePath","Line","Column"
"Abber.Tests.cs","lib\channels\abber\Abber.Tests.cs","482","9"
"Abber.Tests.cs","lib\channels\abber\Abber.Tests.cs","483","9"
"Abber.Validation.Tests.cs","lib\channels\abber\Abber.Validation.Tests.cs","65","9"
"Abber.Validation.Tests.cs","lib\channels\abber\Abber.Validation.Tests.cs","324","9"
"Abber.Validation.Tests.cs","lib\channels\abber\Abber.Validation.Tests.cs","356","9"
"Abber.Validation.Tests.cs","lib\channels\abber\Abber.Validation.Tests.cs","377","9"
"AccBands.Tests.cs","lib\channels\accbands\AccBands.Tests.cs","545","9"
"AccBands.Tests.cs","lib\channels\accbands\AccBands.Tests.cs","546","9"
"AccBands.Validation.Tests.cs","lib\channels\accbands\AccBands.Validation.Tests.cs","354","9"
"apchannel.Validation.Tests.cs","lib\channels\apchannel\apchannel.Validation.Tests.cs","98","9"
"apchannel.Validation.Tests.cs","lib\channels\apchannel\apchannel.Validation.Tests.cs","141","9"
"apchannel.Validation.Tests.cs","lib\channels\apchannel\apchannel.Validation.Tests.cs","181","9"
"apchannel.Validation.Tests.cs","lib\channels\apchannel\apchannel.Validation.Tests.cs","212","9"
"apchannel.Validation.Tests.cs","lib\channels\apchannel\apchannel.Validation.Tests.cs","255","9"
"apchannel.Validation.Tests.cs","lib\channels\apchannel\apchannel.Validation.Tests.cs","309","9"
"Apz.Tests.cs","lib\channels\apz\Apz.Tests.cs","373","9"
"Apz.Tests.cs","lib\channels\apz\Apz.Tests.cs","374","9"
"Apz.Tests.cs","lib\channels\apz\Apz.Tests.cs","480","9"
"Apz.Tests.cs","lib\channels\apz\Apz.Tests.cs","481","9"
"Apz.Tests.cs","lib\channels\apz\Apz.Tests.cs","665","9"
"Apz.Validation.Tests.cs","lib\channels\apz\Apz.Validation.Tests.cs","333","9"
"Apz.Validation.Tests.cs","lib\channels\apz\Apz.Validation.Tests.cs","365","9"
"Apz.Validation.Tests.cs","lib\channels\apz\Apz.Validation.Tests.cs","390","9"
"SimdExtensions.Tests.cs","lib\core\simd\SimdExtensions.Tests.cs","118","9"
"SimdExtensions.Tests.cs","lib\core\simd\SimdExtensions.Tests.cs","338","9"
"SimdExtensions.Tests.cs","lib\core\simd\SimdExtensions.Tests.cs","765","9"
"SimdExtensions.Tests.cs","lib\core\simd\SimdExtensions.Tests.cs","775","9"
"TBar.Tests.cs","lib\core\tbar\TBar.Tests.cs","10","9"
"TBar.Tests.cs","lib\core\tbar\TBar.Tests.cs","11","9"
"TBar.Tests.cs","lib\core\tbar\TBar.Tests.cs","12","9"
"TBar.Tests.cs","lib\core\tbar\TBar.Tests.cs","13","9"
"TBar.Tests.cs","lib\core\tbar\TBar.Tests.cs","14","9"
"TBar.Tests.cs","lib\core\tbar\TBar.Tests.cs","30","9"
"TBar.Tests.cs","lib\core\tbar\TBar.Tests.cs","31","9"
"TBar.Tests.cs","lib\core\tbar\TBar.Tests.cs","32","9"
"TBar.Tests.cs","lib\core\tbar\TBar.Tests.cs","33","9"
"TBar.Tests.cs","lib\core\tbar\TBar.Tests.cs","34","9"
"TBar.Tests.cs","lib\core\tbar\TBar.Tests.cs","448","9"
"TBarSeries.Tests.cs","lib\core\tbarseries\TBarSeries.Tests.cs","442","9"
"ITValuePublisher.Tests.cs","lib\core\tseries\ITValuePublisher.Tests.cs","9","9"
"TValue.Tests.cs","lib\core\tvalue\TValue.Tests.cs","9","9"
"TValue.Tests.cs","lib\core\tvalue\TValue.Tests.cs","21","9"
"TValue.Tests.cs","lib\core\tvalue\TValue.Tests.cs","185","9"
"TValue.Tests.cs","lib\core\tvalue\TValue.Tests.cs","198","9"
"TValue.Tests.cs","lib\core\tvalue\TValue.Tests.cs","211","9"
"Stc.Validation.Tests.cs","lib\cycles\stc\Stc.Validation.Tests.cs","38","9"
"Stc.Validation.Tests.cs","lib\cycles\stc\Stc.Validation.Tests.cs","39","9"
"Stc.Validation.Tests.cs","lib\cycles\stc\Stc.Validation.Tests.cs","40","9"
"Stc.Validation.Tests.cs","lib\cycles\stc\Stc.Validation.Tests.cs","47","9"
"Adxr.Tests.cs","lib\dynamics\adxr\Adxr.Tests.cs","246","9"
"Amat.Tests.cs","lib\dynamics\amat\Amat.Tests.cs","320","9"
"Amat.Tests.cs","lib\dynamics\amat\Amat.Tests.cs","321","9"
"Amat.Tests.cs","lib\dynamics\amat\Amat.Tests.cs","386","9"
"Amat.Validation.Tests.cs","lib\dynamics\amat\Amat.Validation.Tests.cs","54","9"
"Amat.Validation.Tests.cs","lib\dynamics\amat\Amat.Validation.Tests.cs","55","9"
"Amat.Validation.Tests.cs","lib\dynamics\amat\Amat.Validation.Tests.cs","82","9"
"Amat.Validation.Tests.cs","lib\dynamics\amat\Amat.Validation.Tests.cs","83","9"
"Amat.Validation.Tests.cs","lib\dynamics\amat\Amat.Validation.Tests.cs","110","9"
"Amat.Validation.Tests.cs","lib\dynamics\amat\Amat.Validation.Tests.cs","111","9"
"Amat.Validation.Tests.cs","lib\dynamics\amat\Amat.Validation.Tests.cs","145","9"
"Amat.Validation.Tests.cs","lib\dynamics\amat\Amat.Validation.Tests.cs","146","9"
"Amat.Validation.Tests.cs","lib\dynamics\amat\Amat.Validation.Tests.cs","180","9"
"Amat.Validation.Tests.cs","lib\dynamics\amat\Amat.Validation.Tests.cs","181","9"
"Amat.Validation.Tests.cs","lib\dynamics\amat\Amat.Validation.Tests.cs","207","9"
"Amat.Validation.Tests.cs","lib\dynamics\amat\Amat.Validation.Tests.cs","208","9"
"Amat.Validation.Tests.cs","lib\dynamics\amat\Amat.Validation.Tests.cs","234","9"
"Amat.Validation.Tests.cs","lib\dynamics\amat\Amat.Validation.Tests.cs","235","9"
