Date,Open,High,Low,Close,VWAP,Volume
2020-10-26,343.7,344.9,336.7,339.8,341.19,8695206
2020-10-27,338.3,339.75,331.05,334.05,333.74,9910942
2020-10-28,335.75,339.85,334.4,335.65,337.29,8984606
2020-10-29,333.65,340.0,331.15,337.45,335.96,7239961
2020-10-30,339.25,345.0,338.45,340.7,341.18,11496123
2020-11-02,341.75,341.75,333.7,334.8,336.22,4831133
2020-11-03,335.5,339.45,332.65,335.65,336.36,4757798
2020-11-04,338.0,351.55,337.5,342.95,345.59,15381900
2020-11-05,347.95,349.0,344.05,345.4,346.41,5602436
2020-11-06,346.15,349.0,343.4,345.75,344.92,5457793
2020-11-09,350.0,352.8,347.0,351.95,350.46,7107285
2020-11-10,350.75,350.75,341.15,342.3,343.63,9049620
2020-11-11,344.5,347.75,341.5,346.75,344.53,7637879
2020-11-12,348.0,350.7,344.3,345.55,346.81,5114424
2020-11-13,344.5,346.25,342.7,344.15,344.04,4727888
2020-11-14,347.15,347.55,343.1,345.45,345.82,749242
2020-11-17,347.0,350.5,343.7,348.7,347.99,6653834
2020-11-18,349.75,352.35,341.8,345.3,345.38,7407808
2020-11-19,347.7,349.5,341.6,342.6,345.72,11056851
2020-11-20,343.8,348.5,342.05,346.3,345.96,6181393
2020-11-23,348.0,357.4,346.0,355.85,352.34,10333347
2020-11-24,359.0,361.4,355.0,355.5,357.97,10092441
2020-11-25,357.9,358.8,349.55,350.0,352.95,6812338
2020-11-26,351.0,356.4,347.2,354.85,352.19,7366370
2020-11-27,354.85,357.5,347.85,350.5,351.8,12402084
2020-12-01,352.7,353.9,346.25,352.85,350.99,10693567
2020-12-02,354.45,360.3,354.2,358.9,357.61,9434077
2020-12-03,364.0,364.0,358.0,360.3,360.33,10697045
2020-12-04,361.1,362.4,359.0,360.8,360.69,7427393
2020-12-07,362.0,362.75,357.5,358.45,359.01,8392383
2020-12-08,360.3,365.0,358.4,363.7,361.67,11813301
2020-12-09,367.75,367.75,357.5,359.5,362.22,18137688
2020-12-10,356.2,358.0,352.75,355.9,355.84,6897397
2020-12-11,357.4,360.0,352.65,353.5,355.85,5863616
2020-12-14,353.5,354.55,347.1,349.35,349.28,11501839
2020-12-15,349.3,353.9,347.5,352.7,351.95,7231781
2020-12-16,353.9,358.95,353.2,358.4,356.44,6666272
2020-12-17,358.4,359.25,355.5,356.9,357.27,4165371
2020-12-18,358.95,365.8,357.5,363.55,362.94,17398081
2020-12-21,362.5,367.45,348.35,353.95,360.92,9665063
2020-12-22,354.0,365.7,349.45,364.2,357.14,8186039
2020-12-23,374.0,387.6,371.7,385.55,379.89,44874433
2020-12-24,386.45,386.7,378.65,382.2,382.71,12240172
2020-12-28,383.45,386.4,382.0,382.9,384.06,4725879
2020-12-29,384.0,390.5,383.1,385.0,387.04,11459126
2020-12-30,385.0,386.6,382.8,384.4,384.43,7188435
2020-12-31,381.2,387.6,381.2,386.25,385.2,6394605
2021-01-01,385.05,390.75,385.05,388.1,388.0,5042336
2021-01-04,390.0,397.95,387.8,396.4,393.91,9755721
2021-01-05,394.1,409.8,393.5,406.3,403.28,25156747
2021-01-06,405.0,417.4,403.3,406.4,410.04,22486300
2021-01-07,412.25,413.0,403.85,406.75,406.88,12344755
2021-01-08,407.5,432.65,407.25,430.2,423.56,40993230
2021-01-11,436.0,451.0,435.0,446.8,444.84,47334018
2021-01-12,447.95,460.75,442.4,457.7,451.3,22134465
2021-01-13,461.0,467.45,452.8,459.0,460.7,29190193
2021-01-14,452.0,466.0,430.0,454.35,450.54,71551807
2021-01-15,454.75,459.4,436.6,438.55,447.14,25307779
2021-01-18,441.0,445.0,429.1,431.55,438.58,21510587
2021-01-19,433.0,439.55,427.7,430.25,432.24,15677790
2021-01-20,434.0,447.85,433.0,444.95,443.71,24419679
2021-01-21,451.6,453.45,442.3,445.8,448.46,15911377
2021-01-22,447.45,452.0,440.45,444.75,445.22,11398812
2021-01-25,445.15,451.0,435.15,437.25,441.91,7380169
2021-01-27,438.0,454.75,437.25,446.45,449.19,29590210
2021-01-28,443.25,448.6,427.3,431.9,434.54,14812435
2021-01-29,437.4,437.7,415.55,417.9,425.79,15632421
2021-02-01,416.1,423.8,408.2,421.5,415.3,15081852
2021-02-02,428.0,435.55,423.65,428.35,427.93,13310498
2021-02-03,430.2,439.95,430.2,433.5,436.37,9897666
2021-02-04,433.5,436.9,428.25,429.9,430.85,7193299
2021-02-05,432.0,433.4,420.55,425.55,424.89,8679026
2021-02-08,430.35,437.7,426.3,435.3,431.95,12516340
2021-02-09,440.25,451.75,435.2,439.35,445.17,29474830
2021-02-10,442.0,444.15,435.0,439.0,438.83,10607735
2021-02-11,439.0,440.5,433.4,437.0,436.02,9237026
2021-02-12,440.0,449.2,439.6,442.0,444.59,19280834
2021-02-15,444.6,444.9,436.8,439.7,440.59,7844877
2021-02-16,446.0,447.8,433.8,437.55,440.41,12453798
2021-02-17,435.9,439.0,428.5,430.2,432.63,7390192
2021-02-18,430.3,436.65,429.35,432.95,432.81,8385736
2021-02-19,433.15,435.75,426.1,429.95,431.28,8478666
2021-02-22,430.7,432.85,416.0,418.7,422.91,10666087
2021-02-23,419.7,426.0,414.3,415.5,419.17,8992353
2021-02-24,417.7,425.8,414.75,423.1,419.2,5060297
2021-02-25,423.1,429.0,420.45,421.3,424.69,9110392
2021-02-26,417.95,419.85,408.0,410.3,413.09,11731941
2021-03-01,411.0,418.7,409.2,414.4,414.87,6421696
2021-03-02,419.7,433.1,418.25,430.4,426.86,14875234
